dataset_id,method_id,label
300070,101486,1
300071,101464,1
300071,101487,1
300071,101483,1
300071,101488,1
300071,101489,1
300071,101475,1
300071,101490,1
300071,101491,1
300071,101492,1
300071,101493,1
300071,101485,1
300071,101494,1
300071,101495,1
300072,101496,1
300072,101497,1
300072,101498,1
300073,101499,1
300073,101500,1
300074,101499,1
300074,101501,1
300074,101502,1
300074,101503,1
300074,101504,1
300075,101505,1
300075,101506,1
300075,101507,1
300075,101508,1
300075,101509,1
300075,101510,1
300075,101511,1
300075,101512,1
300075,101513,1
300075,101514,1
300075,101515,1
300075,101516,1
300075,101517,1
300075,101518,1
300075,101519,1
300075,100000,1
300076,101520,1
300077,101512,1
300077,101513,1
300077,101521,1
300078,101522,1
300078,101523,1
300078,101512,1
300078,101520,1
300079,101509,1
300079,101511,1
300079,101514,1
300079,101515,1
300079,101516,1
300080,101524,1
300080,101525,1
300080,101526,1
300080,101527,1
300080,101528,1
300080,101511,1
300080,101512,1
300080,101529,1
300081,101522,1
300081,101508,1
300081,101523,1
300081,101512,1
300081,101509,1
300081,101530,1
300081,101511,1
300081,101531,1
300081,101532,1
300082,101533,1
300083,101534,1
300084,101535,1
300085,101536,1
300085,101535,1
300085,101537,1
300085,101538,1
300085,100866,1
300086,101539,1
300086,101540,1
300087,101541,1
300087,101542,1
300087,101543,1
300087,101544,1
300087,101545,1
300087,101546,1
300088,101547,1
300088,101548,1
300088,101421,1
300088,101549,1
300088,101550,1
300088,100360,1
300088,100359,1
300088,101551,1
300088,101552,1
300089,101551,1
300089,101553,1
300089,101554,1
300089,101555,1
300089,101556,1
300089,101557,1
300089,101558,1
300089,101559,1
300089,101560,1
300089,101561,1
300089,101562,1
300089,101563,1
300089,101564,1
300089,101565,1
300089,101566,1
300090,101567,1
300090,101568,1
300090,101569,1
300090,101570,1
300090,101571,1
300090,101572,1
300090,101573,1
300090,101574,1
300090,101575,1
300090,101576,1
300090,101577,1
300090,101578,1
300090,101579,1
300090,101580,1
300090,101581,1
300090,101582,1
300090,101583,1
300090,101584,1
300090,101585,1
300090,101586,1
300090,101587,1
300090,101588,1
300090,101589,1
300090,101590,1
300091,101591,1
300091,101592,1
300091,101593,1
300091,101594,1
300092,101591,1
300092,101593,1
300092,101592,1
300092,101594,1
300093,101591,1
300093,101595,1
300094,101591,1
300094,101594,1
300094,101595,1
300094,101593,1
300094,101596,1
300094,101597,1
300095,101591,1
300095,101595,1
300095,101598,1
300096,101591,1
300096,101593,1
300096,101594,1
300096,101596,1
300096,101599,1
300096,101597,1
300097,101592,1
300097,101594,1
300097,101600,1
300097,101601,1
300097,101602,1
300097,101603,1
300097,101604,1
300097,101605,1
300097,101606,1
300097,101607,1
300097,101608,1
300097,101609,1
300097,101610,1
300097,101611,1
300097,101612,1
300097,101613,1
300097,101614,1
300097,101615,1
300097,101616,1
300097,101617,1
300097,101618,1
300097,101619,1
300097,101620,1
300097,101621,1
300097,101622,1
300097,101623,1
300097,101624,1
300097,101625,1
300097,101626,1
300097,101627,1
300097,101628,1
300097,101629,1
300097,101630,1
300097,101631,1
300097,101632,1
300097,101633,1
300097,101634,1
300097,101635,1
300097,101636,1
300097,101637,1
300097,101638,1
300097,101639,1
300097,101640,1
300097,101641,1
300097,101642,1
300097,101644,1
300097,101597,1
300097,101645,1
300097,101646,1
300097,101647,1
300097,101648,1
300097,101649,1
300097,100478,1
300097,101650,1
300097,101651,1
300097,101652,1
300097,101653,1
300097,101654,1
300097,101656,1
300097,101658,1
300098,101592,1
300098,101594,1
300098,101654,1
300098,101600,1
300098,101601,1
300098,101659,1
300098,101604,1
300098,101605,1
300098,101607,1
300098,101606,1
300098,101660,1
300098,101610,1
300098,101608,1
300098,101611,1
300098,101661,1
300098,101612,1
300098,101662,1
300098,101615,1
300098,101624,1
300098,101613,1
300098,101614,1
300098,101620,1
300098,101621,1
300098,101619,1
300098,101618,1
300098,101622,1
300098,101663,1
300098,101616,1
300098,101623,1
300098,101628,1
300098,101627,1
300098,101617,1
300098,101664,1
300098,101625,1
300098,101665,1
300098,101666,1
300098,101667,1
300098,101630,1
300098,101632,1
300098,101668,1
300098,101669,1
300098,101670,1
300098,101671,1
300098,101634,1
300098,101635,1
300098,101672,1
300098,101640,1
300098,101402,1
300098,101673,1
300098,101641,1
300098,100478,1
300098,101674,1
300098,101675,1
300098,101676,1
300098,101677,1
300098,101636,1
300098,101678,1
300098,101597,1
300098,101646,1
300098,101679,1
300098,101651,1
300098,101650,1
300098,101648,1
300098,101680,1
300098,101681,1
300098,101682,1
300098,101656,1
300098,101658,1
300098,101683,1
300098,101684,1
300098,101685,1
300099,101651,1
300099,101686,1
300100,101687,1
300100,101651,1
300101,101688,1
300101,101689,1
300101,100035,1
300102,101690,1
300102,101691,1
300102,101692,1
300102,101533,1
300102,101694,1
300102,101695,1
300102,101651,1
300102,101696,1
300102,101686,1
300102,101697,1
300103,101613,1
300103,101698,1
300103,101699,1
300103,101700,1
300103,101701,1
300103,101702,1
300103,101703,1
300103,101704,1
300103,101705,1
300103,101706,1
300103,101707,1
300104,101708,1
300104,101709,1
300104,101710,1
300104,101651,1
300104,101711,1
300104,101627,1
300104,101623,1
300104,101662,1
300104,101610,1
300104,101632,1
300104,101640,1
300104,101712,1
300105,101613,1
300105,101713,1
300105,101699,1
300105,101714,1
300105,101700,1
300105,101701,1
300105,101702,1
300105,101715,1
300105,101704,1
300105,101716,1
300105,101705,1
300105,101706,1
300105,101707,1
300106,101717,1
300106,101718,1
300106,101690,1
300106,101719,1
300106,101667,1
300106,101669,1
300106,101687,1
300106,101617,1
300106,101640,1
300106,101678,1
300106,101651,1
300106,101720,1
300106,101721,1
300107,101605,1
300107,101614,1
300107,101621,1
300107,101627,1
300107,101623,1
300107,101722,1
300107,101646,1
300107,101638,1
300107,101639,1
300107,101645,1
300107,101597,1
300107,101647,1
300107,101651,1
300107,101652,1
300107,101686,1
300107,101653,1
300108,101723,1
300108,101724,1
300108,101725,1
300108,101726,1
300109,101727,1
300110,101728,1
300110,101727,1
300111,101728,1
300111,101727,1
300112,101727,1
300112,101729,1
300113,101727,1
300113,101729,1
300114,101727,1
300114,101729,1
300115,101730,1
300115,101731,1
300116,101732,1
300117,101733,1
300117,101734,1
300117,101735,1
300117,101736,1
300117,101737,1
300118,101738,1
300118,101739,1
300119,101740,1
300119,101741,1
300119,101739,1
300119,101742,1
300119,101743,1
300119,101744,1
300119,101745,1
300119,101746,1
300119,101747,1
300119,101537,1
300119,101748,1
300119,101749,1
300119,101750,1
300119,101751,1
300119,101752,1
300119,101753,1
300119,101754,1
300119,101755,1
300119,101597,1
300120,100656,1
300120,101756,1
300120,101757,1
300120,101758,1
300120,101759,1
300120,101760,1
300120,101761,1
300120,101762,1
300120,101763,1
300120,101764,1
300120,101765,1
300120,101766,1
300120,101767,1
300120,101768,1
300120,100328,1
300120,101769,1
300120,101770,1
300120,101771,1
300120,101772,1
300120,101773,1
300120,101774,1
300120,101775,1
300120,101776,1
300120,101777,1
300120,101778,1
300120,101779,1
300121,101780,1
300121,101781,1
300122,101782,1
300122,101783,1
300122,101784,1
300122,101785,1
300123,101786,1
300123,101787,1
300124,101788,1
300125,101789,1
300126,101789,1
300127,100360,1
300128,101790,1
300128,101791,1
300128,100358,1
300129,101792,1
300129,101793,1
300130,101794,1
300131,101349,1
300131,100358,1
300131,101795,1
300132,101796,1
300132,101797,1
300132,100314,1
300132,100277,1
300132,101798,1
300133,101799,1
300133,100358,1
300134,101800,1
300134,101799,1
300134,100358,1
300135,101801,1
300136,101802,1
300137,101803,1
300138,101803,1
300139,101803,1
300140,101803,1
300141,101804,1
300142,101805,1
300143,101806,1
300144,101794,1
300144,101807,1
300144,101808,1
300144,101809,1
300145,101810,1
300145,101791,1
300145,100358,1
300145,101811,1
300145,101805,1
300146,100358,1
300147,100358,1
300148,101812,1
300149,101790,1
300149,100358,1
300149,101812,1
300149,101813,1
300149,101791,1
300150,101814,1
300150,101815,1
300150,101812,1
300150,101790,1
300150,101813,1
300150,101791,1
300150,100358,1
300151,101814,1
300151,101812,1
300151,101813,1
300151,101815,1
300151,101810,1
300151,101791,1
300151,101811,1
300151,100358,1
300151,101805,1
300151,101804,1
300152,101816,1
300152,101817,1
300153,101818,1
300153,100358,1
300154,101819,1
300155,101820,1
300156,101819,1
300156,101277,1
300157,101821,1
300157,101822,1
300158,101823,1
300158,101824,1
300159,101794,1
300159,101821,1
300160,101819,1
300160,101825,1
300160,101826,1
300160,101827,1
300160,101828,1
300161,101827,1
300162,101829,1
300163,101830,1
300163,101831,1
300163,101832,1
300164,101833,1
300164,101834,1
300164,101830,1
300164,101804,1
300164,101831,1
300164,101832,1
300164,101810,1
300165,101835,1
300165,101836,1
300165,101837,1
300165,101838,1
300165,101839,1
300165,100358,1
300165,100364,1
300165,100360,1
300166,101840,1
300167,101840,1
300168,101840,1
300169,101802,1
300170,101802,1
300171,101824,1
300172,101824,1
300173,101838,1
300173,101841,1
300174,101811,1
300174,100358,1
300175,101842,1
300175,101843,1
300175,101844,1
300175,101845,1
300175,101846,1
300175,101847,1
300175,101848,1
300175,101849,1
300175,101850,1
300175,101851,1
300175,101852,1
300175,101853,1
300175,101854,1
300175,101855,1
300175,101856,1
300175,100314,1
300175,101857,1
300175,101858,1
300175,101859,1
300175,101860,1
300175,101861,1
300175,101862,1
300175,101863,1
300175,101864,1
300175,101865,1
300175,101866,1
300175,101867,1
300175,101868,1
300175,101869,1
300175,101870,1
300175,101871,1
300175,101872,1
300175,101873,1
300175,101874,1
300175,101875,1
300175,100504,1
300175,101876,1
300175,101877,1
300175,101878,1
300175,101879,1
300175,101880,1
300175,101881,1
300175,101882,1
300175,101883,1
300175,101884,1
300175,101885,1
300175,101886,1
300175,101887,1
300175,101888,1
300175,101889,1
300175,101890,1
300175,101891,1
300175,101892,1
300175,100384,1
300175,101893,1
300175,101894,1
300175,101895,1
300175,101896,1
300175,101897,1
300175,101898,1
300175,101899,1
300175,101900,1
300176,101901,1
300177,101902,1
300178,101903,1
300178,101904,1
300178,101905,1
300178,101906,1
300178,101902,1
300178,101907,1
300178,101908,1
300178,101909,1
300178,101910,1
300178,101551,1
300178,101552,1
300179,101911,1
300179,101912,1
300179,101913,1
300179,101914,1
300179,101915,1
300180,101916,1
300180,101917,1
300180,101918,1
300181,101919,1
300181,101920,1
300181,101916,1
300181,101903,1
300181,101921,1
300181,101922,1
300181,101553,1
300181,101923,1
300181,101924,1
300181,101925,1
300182,101916,1
300182,101920,1
300182,101919,1
300182,101926,1
300182,101903,1
300182,101921,1
300182,101927,1
300182,101928,1
300182,101929,1
300182,101561,1
300182,101930,1
300182,101931,1
300182,101932,1
300182,101556,1
300182,101933,1
300182,101934,1
300182,101555,1
300183,101935,1
300183,101936,1
300183,101937,1
300183,101938,1
300183,101939,1
300183,101940,1
300183,101941,1
300183,101942,1
300183,101943,1
300183,101944,1
300183,101945,1
300183,101577,1
300183,101590,1
300184,101946,1
300184,101947,1
300184,101948,1
300184,101949,1
300184,101950,1
300184,101951,1
300184,101952,1
300184,101953,1
300184,101954,1
300184,101875,1
300184,100504,1
300184,101955,1
300184,101956,1
300184,101957,1
300184,101958,1
300184,101959,1
300184,101960,1
300184,101961,1
300184,101962,1
300184,101963,1
300184,101964,1
300184,101965,1
300184,101966,1
300184,101967,1
300184,101968,1
300184,101969,1
300184,101970,1
300184,101971,1
300184,101972,1
300184,101973,1
300184,101974,1
300184,100359,1
300184,101975,1
300184,100361,1
300184,100051,1
300184,100362,1
300184,100360,1
300184,101976,1
300184,101977,1
300184,101978,1
300184,101570,1
300184,101979,1
300184,101980,1
300184,101981,1
300184,101982,1
300184,101983,1
300184,101984,1
300184,101985,1
300184,101986,1
300184,101551,1
300184,101987,1
300184,101988,1
300184,101582,1
300184,101989,1
300184,101990,1
300184,101576,1
300184,101991,1
300184,101992,1
300184,101993,1
300184,101994,1
300184,101583,1
300184,101995,1
300184,101567,1
300184,101577,1
300184,101552,1
300184,101586,1
300184,101996,1
300184,101997,1
300184,101998,1
300184,101999,1
300184,102000,1
300184,102001,1
300184,102002,1
300184,102003,1
300184,102004,1
300184,101584,1
300184,102005,1
300184,101590,1
300184,102006,1
300184,102007,1
300184,102008,1
300184,102009,1
300184,102010,1
300184,102011,1
300184,102012,1
300184,102013,1
300184,102014,1
300184,102015,1
300184,102016,1
300184,100683,1
300184,102017,1
300184,100715,1
300184,102018,1
300184,100365,1
300184,102019,1
300184,102020,1
300184,102021,1
300184,102022,1
300184,102023,1
300185,102024,1
300185,102025,1
300185,102026,1
300185,102027,1
300185,102028,1
300185,102029,1
300185,102030,1
300185,102031,1
300185,102032,1
300185,102033,1
300185,102034,1
300185,102035,1
300185,102036,1
300185,102037,1
300185,102038,1
300185,102039,1
300185,102040,1
300185,102041,1
300185,102042,1
300185,102043,1
300185,102044,1
300185,102045,1
300185,101853,1
300185,101888,1
300185,102046,1
300185,102047,1
300185,102048,1
300185,102049,1
300185,102050,1
300185,102051,1
300185,102052,1
300185,102053,1
300185,102054,1
300185,102055,1
300185,102056,1
300185,102057,1
300185,102058,1
300185,102059,1
300185,102060,1
300185,102061,1
300185,102062,1
300185,102063,1
300185,102064,1
300185,102065,1
300185,102066,1
300185,102067,1
300185,102068,1
300185,102069,1
300185,102070,1
300185,102071,1
300185,102072,1
300185,102073,1
300185,102074,1
300185,102075,1
300185,102076,1
300185,102077,1
300185,102078,1
300185,102079,1
300185,102080,1
300185,102081,1
300185,102082,1
300185,102083,1
300185,102084,1
300185,102085,1
300185,102086,1
300185,102087,1
300185,102088,1
300185,102089,1
300185,102090,1
300185,102091,1
300185,102092,1
300185,102093,1
300185,102094,1
300185,102095,1
300185,102096,1
300185,102097,1
300185,102098,1
300185,102099,1
300185,102100,1
300185,102101,1
300185,102102,1
300185,102103,1
300185,102104,1
300185,102105,1
300185,102106,1
300185,102107,1
300185,102108,1
300185,102109,1
300185,102110,1
300185,102111,1
300185,102112,1
300185,102113,1
300185,102114,1
300185,102115,1
300185,102116,1
300185,101899,1
300186,102117,1
300186,102024,1
300186,102025,1
300186,102118,1
300186,100316,1
300186,102119,1
300186,102120,1
300186,102031,1
300186,102121,1
300186,102122,1
300186,102123,1
300186,102124,1
300186,102125,1
300186,102126,1
300186,102127,1
300186,102128,1
300186,102129,1
300186,102130,1
300186,102131,1
300186,102132,1
300186,102133,1
300186,102134,1
300186,102111,1
300186,102135,1
300186,102136,1
300186,101914,1
300186,102137,1
300186,102138,1
300186,102139,1
300186,102140,1
300186,102141,1
300186,102142,1
300186,102143,1
300186,102144,1
300186,102145,1
300186,102146,1
300186,102147,1
300186,101856,1
300186,102148,1
300186,102149,1
300186,101850,1
300186,101851,1
300186,102150,1
300186,100676,1
300186,102151,1
300186,101853,1
300186,102152,1
300186,101846,1
300186,102153,1
300186,102154,1
300186,102155,1
300186,102156,1
300186,100314,1
300186,102157,1
300186,102158,1
300186,102159,1
300186,102160,1
300186,101852,1
300186,102161,1
300186,102162,1
300186,102163,1
300186,102164,1
300186,102165,1
300186,102166,1
300186,102167,1
300186,102168,1
300186,101899,1
300186,102047,1
300186,102169,1
300186,102170,1
300186,102171,1
300186,102172,1
300186,102048,1
300186,102173,1
300186,102174,1
300186,102175,1
300186,102176,1
300186,102177,1
300186,102178,1
300186,102179,1
300186,102180,1
300186,102181,1
300186,102182,1
300186,102183,1
300186,102184,1
300186,102030,1
300186,102185,1
300186,102186,1
300186,102055,1
300186,102187,1
300186,102188,1
300186,102189,1
300186,102190,1
300186,102191,1
300186,102057,1
300186,102192,1
300186,102193,1
300186,102194,1
300186,102063,1
300186,102195,1
300186,102196,1
300186,102197,1
300186,102198,1
300186,102199,1
300186,102200,1
300186,102201,1
300186,102202,1
300186,102203,1
300186,102204,1
300186,102205,1
300186,102069,1
300186,101885,1
300186,102206,1
300186,102207,1
300186,102208,1
300186,102209,1
300186,102210,1
300186,102211,1
300186,102212,1
300186,102213,1
300186,102073,1
300186,100513,1
300186,102077,1
300186,102214,1
300186,102215,1
300186,102078,1
300186,102216,1
300186,102217,1
300186,102218,1
300186,102219,1
300186,102220,1
300186,102094,1
300186,102221,1
300186,102222,1
300186,102223,1
300186,102224,1
300186,102225,1
300186,102226,1
300186,100285,1
300186,102227,1
300186,102228,1
300186,102229,1
300186,102093,1
300186,102230,1
300186,102231,1
300186,102232,1
300186,102233,1
300186,102234,1
300186,102235,1
300186,102236,1
300186,102237,1
300186,102238,1
300186,102239,1
300186,102095,1
300186,102240,1
300186,102241,1
300186,102242,1
300186,102243,1
300186,102244,1
300186,102245,1
300186,102092,1
300186,102246,1
300186,102247,1
300186,102248,1
300186,100504,1
300186,100384,1
300186,102249,1
300186,102250,1
300186,102251,1
300186,102252,1
300186,102253,1
300186,102254,1
300186,102255,1
300186,102256,1
300186,102257,1
300186,102258,1
300186,102259,1
300186,102260,1
300186,102261,1
300186,102262,1
300186,102263,1
300186,102264,1
300186,102265,1
300186,102266,1
300186,102267,1
300186,102268,1
300186,102269,1
300186,102270,1
300186,102271,1
300186,102272,1
300186,102273,1
300187,101844,1
300187,102274,1
300187,101843,1
300188,102275,1
300189,102275,1
300189,102276,1
300189,102277,1
300189,102278,1
300189,102279,1
300189,102280,1
300189,102281,1
300189,102282,1
300190,102275,1
300190,102283,1
300190,102278,1
300190,102279,1
300190,102284,1
300190,102280,1
300190,102281,1
300190,102282,1
300191,102285,1
300192,102285,1
300193,102286,1
300194,102286,1
300195,102286,1
300196,102286,1
300197,102287,1
300198,102288,1
300199,102289,1
300199,102290,1
300200,102291,1
300200,102292,1
300201,102293,1
300201,102294,1
300201,102295,1
300201,102296,1
300201,102297,1
300202,102298,1
300202,102299,1
300202,101365,1
300202,101366,1
300202,101367,1
300202,101368,1
300202,102300,1
300202,101408,1
300202,101410,1
300203,101364,1
300203,101365,1
300203,101367,1
300203,102301,1
300203,101366,1
300203,101368,1
300203,102302,1
300203,101408,1
300203,101410,1
300203,101409,1
300203,101411,1
300203,101415,1
300203,101412,1
300203,101413,1
300203,101417,1
300204,102293,1
300204,102294,1
300204,102295,1
300204,102296,1
300204,102303,1
300204,102297,1
300204,102304,1
300205,102293,1
300205,102294,1
300205,102295,1
300205,102303,1
300205,102297,1
300205,102296,1
300205,102304,1
300206,102293,1
300206,102294,1
300206,102295,1
300206,102296,1
300206,102297,1
300206,102303,1
300206,102304,1
300207,102298,1
300207,101365,1
300207,102299,1
300207,101367,1
300207,101368,1
300207,101366,1
300207,102300,1
300207,102305,1
300207,101414,1
300207,102306,1
300207,101408,1
300208,102307,1
300208,102308,1
300208,102309,1
300208,102310,1
300208,102311,1
300208,102312,1
300208,102313,1
300208,102314,1
300208,102315,1
300208,102316,1
300209,102317,1
300209,102318,1
300209,102319,1
300210,102320,1
300211,102321,1
300211,102322,1
300211,102323,1
300211,102324,1
300211,100013,1
300211,102325,1
300211,102326,1
300211,102327,1
300211,102328,1
300211,102329,1
300211,102330,1
300211,102331,1
300211,102332,1
300211,102333,1
300211,102334,1
300211,102335,1
300211,102336,1
300211,102337,1
300212,102321,1
300212,102338,1
300212,102339,1
300212,102334,1
300212,102335,1
300212,102340,1
300212,102341,1
300212,102342,1
300212,102343,1
300212,102332,1
300213,102321,1
300213,102344,1
300213,102345,1
300213,102346,1
300213,102347,1
300213,102348,1
300213,102349,1
300213,102350,1
300213,102351,1
300213,102352,1
300213,102353,1
300213,102354,1
300213,102355,1
300213,102356,1
300213,102357,1
300213,102358,1
300213,102359,1
300214,102321,1
300214,102360,1
300214,100390,1
300214,102361,1
300214,102362,1
300215,102363,1
300215,102364,1
300215,102365,1
300215,102366,1
300216,101597,1
300216,102352,1
300216,102367,1
300216,102358,1
300216,102356,1
300216,102368,1
300216,102357,1
300216,102355,1
300216,102369,1
300217,102370,1
300218,102370,1
300219,102371,1
300219,102372,1
300219,102373,1
300219,102374,1
300220,102375,1
300220,102376,1
300220,102377,1
300220,102378,1
300220,102379,1
300220,102380,1
300220,102381,1
300220,102382,1
300220,102383,1
300221,102384,1
300222,102385,1
300222,102386,1
300222,102387,1
300222,102388,1
300222,102344,1
300222,100499,1
300222,102389,1
300222,102390,1
300222,102391,1
300222,102392,1
300222,102393,1
300222,100486,1
300222,102394,1
300222,102395,1
300222,102397,1
300222,102340,1
300222,101136,1
300222,102398,1
300222,102399,1
300222,102400,1
300222,102401,1
300222,102402,1
300222,102403,1
300222,102404,1
300222,102349,1
300222,102405,1
300222,102406,1
300222,102407,1
300222,102408,1
300222,102409,1
300222,102410,1
300222,100017,1
300222,102411,1
300222,102412,1
300222,102413,1
300222,102414,1
300222,102415,1
300222,102416,1
300222,102417,1
300222,102418,1
300222,102350,1
300222,102419,1
300222,102420,1
300222,102421,1
300222,102422,1
300222,102423,1
300222,102424,1
300222,102425,1
300222,102426,1
300222,102427,1
300222,102428,1
300222,102429,1
300222,102430,1
300222,102431,1
300222,102432,1
